Name.Mapping.File	Target	Temp	Isotope	Fraction	Treatment
Bacteria.25degrees.13C.Acetate.Sulfate.Fraction.Light	Bacteria	25	13C	Light	Acetate.Sulfate
Bacteria.25degrees.13C.Acetate.Sulfate.Fraction.Midpoint	Bacteria	25	13C	Midpoint	Acetate.Sulfate
Bacteria.25degrees.13C.Acetate.Sulfate.Fraction.Ultra-heavy	Bacteria	25	13C	Ultraheavy	Acetate.Sulfate
Bacteria.25degrees.13C.Acetate.Sulfate.Fraction.Ultra-light	Bacteria	25	13C	Ultralight	Acetate.Sulfate
Bacteria.2degrees.12C.Acetate.Fraction.Heavy	Bacteria	2	12C	Heavy	Acetate
Bacteria.2degrees.12C.Acetate.Fraction.Light	Bacteria	2	12C	Light	Acetate
Bacteria.2degrees.12C.Acetate.Fraction.Midpoint	Bacteria	2	12C	Midpoint	Acetate
Bacteria.2degrees.12C.Acetate.Fraction.Ultra-heavy	Bacteria	2	12C	Ultraheavy	Acetate
Bacteria.2degrees.12C.Acetate.Fraction.Ultra-light	Bacteria	2	12C	Ultralight	Acetate
Bacteria.2degrees.12C.Acetate.Lepidocrocite.Fraction.Heavy	Bacteria	2	12C	Heavy	Acetate.Lepidocrocite
Bacteria.2degrees.12C.Acetate.Lepidocrocite.Fraction.Light	Bacteria	2	12C	Light	Acetate.Lepidocrocite
Bacteria.2degrees.12C.Acetate.Lepidocrocite.Fraction.Midpoint	Bacteria	2	12C	Midpoint	Acetate.Lepidocrocite
Bacteria.2degrees.12C.Acetate.Lepidocrocite.Fraction.Ultra-heavy	Bacteria	2	12C	Ultraheavy	Acetate.Lepidocrocite
Bacteria.2degrees.12C.Acetate.Lepidocrocite.Fraction.Ultra-light	Bacteria	2	12C	Ultralight	Acetate.Lepidocrocite
Bacteria.2degrees.12C.Acetate.Sulfate.Fraction.Heavy	Bacteria	2	12C	Heavy	Acetate.Sulfate
Bacteria.2degrees.12C.Acetate.Sulfate.Fraction.Light	Bacteria	2	12C	Light	Acetate.Sulfate
Bacteria.2degrees.12C.Acetate.Sulfate.Fraction.Midpoint	Bacteria	2	12C	Midpoint	Acetate.Sulfate
Bacteria.2degrees.12C.Acetate.Sulfate.Fraction.Ultra-heavy	Bacteria	2	12C	Ultraheavy	Acetate.Sulfate
Bacteria.2degrees.12C.Acetate.Sulfate.Fraction.Ultra-light	Bacteria	2	12C	Ultralight	Acetate.Sulfate
Bacteria.2degrees.13C.Acetate.Fraction.Heavy	Bacteria	2	13C	Heavy	Acetate
Bacteria.2degrees.13C.Acetate.Fraction.Light	Bacteria	2	13C	Light	Acetate
Bacteria.2degrees.13C.Acetate.Fraction.Midpoint	Bacteria	2	13C	Midpoint	Acetate
Bacteria.2degrees.13C.Acetate.Fraction.Ultra-heavy	Bacteria	2	13C	Ultraheavy	Acetate
Bacteria.2degrees.13C.Acetate.Fraction.Ultra-light	Bacteria	2	13C	Ultralight	Acetate
Bacteria.2degrees.13C.Acetate.Lepidocrocite.Fraction.Heavy	Bacteria	2	13C	Heavy	Acetate.Lepidocrocite
Bacteria.2degrees.13C.Acetate.Lepidocrocite.Fraction.Light	Bacteria	2	13C	Light	Acetate.Lepidocrocite
Bacteria.2degrees.13C.Acetate.Lepidocrocite.Fraction.Midpoint	Bacteria	2	13C	Midpoint	Acetate.Lepidocrocite
Bacteria.2degrees.13C.Acetate.Lepidocrocite.Fraction.Ultra-heavy	Bacteria	2	13C	Ultraheavy	Acetate.Lepidocrocite
Bacteria.2degrees.13C.Acetate.Lepidocrocite.Fraction.Ultra-light	Bacteria	2	13C	Ultralight	Acetate.Lepidocrocite
Bacteria.2degrees.13C.Acetate.Sulfate.Fraction.Heavy	Bacteria	2	13C	Heavy	Acetate.Sulfate
Bacteria.2degrees.13C.Acetate.Sulfate.Fraction.Light	Bacteria	2	13C	Light	Acetate.Sulfate
Bacteria.2degrees.13C.Acetate.Sulfate.Fraction.Midpoint	Bacteria	2	13C	Midpoint	Acetate.Sulfate
Bacteria.2degrees.13C.Acetate.Sulfate.Fraction.Ultra-heavy	Bacteria	2	13C	Ultraheavy	Acetate.Sulfate
Bacteria.2degrees.13C.Acetate.Sulfate.Fraction.Ultra-light	Bacteria	2	13C	Ultralight	Acetate.Sulfate
Bacteria.30degrees.12C.Acetate.Fraction.Heavy	Bacteria	30	12C	Heavy	Acetate
Bacteria.30degrees.12C.Acetate.Fraction.Light	Bacteria	30	12C	Light	Acetate
Bacteria.30degrees.12C.Acetate.Fraction.Midpoint	Bacteria	30	12C	Midpoint	Acetate
Bacteria.30degrees.12C.Acetate.Fraction.Ultra-heavy	Bacteria	30	12C	Ultraheavy	Acetate
Bacteria.30degrees.12C.Acetate.Fraction.Ultra-light	Bacteria	30	12C	Ultralight	Acetate
Bacteria.30degrees.12C.Acetate.Lepidocrocite.Fraction.Heavy	Bacteria	30	12C	Heavy	Acetate.Lepidocrocite
Bacteria.30degrees.12C.Acetate.Lepidocrocite.Fraction.Light	Bacteria	30	12C	Light	Acetate.Lepidocrocite
Bacteria.30degrees.12C.Acetate.Lepidocrocite.Fraction.Midpoint	Bacteria	30	12C	Midpoint	Acetate.Lepidocrocite
Bacteria.30degrees.12C.Acetate.Lepidocrocite.Fraction.Ultra-heavy	Bacteria	30	12C	Ultraheavy	Acetate.Lepidocrocite
Bacteria.30degrees.12C.Acetate.Lepidocrocite.Fraction.Ultra-light	Bacteria	30	12C	Ultralight	Acetate.Lepidocrocite
Bacteria.30degrees.12C.Acetate.Sulfate.Fraction.Heavy	Bacteria	30	12C	Heavy	Acetate.Sulfate
Bacteria.30degrees.12C.Acetate.Sulfate.Fraction.Light	Bacteria	30	12C	Light	Acetate.Sulfate
Bacteria.30degrees.12C.Acetate.Sulfate.Fraction.Midpoint	Bacteria	30	12C	Midpoint	Acetate.Sulfate
Bacteria.30degrees.12C.Acetate.Sulfate.Fraction.Ultra-heavy	Bacteria	30	12C	Ultraheavy	Acetate.Sulfate
Bacteria.30degrees.12C.Acetate.Sulfate.Fraction.Ultra-light	Bacteria	30	12C	Ultralight	Acetate.Sulfate
Bacteria.30degrees.13C.Acetate.Fraction.Heavy	Bacteria	30	13C	Heavy	Acetate
Bacteria.30degrees.13C.Acetate.Fraction.Light	Bacteria	30	13C	Light	Acetate
Bacteria.30degrees.13C.Acetate.Fraction.Midpoint	Bacteria	30	13C	Midpoint	Acetate
Bacteria.30degrees.13C.Acetate.Fraction.Ultra-heavy	Bacteria	30	13C	Ultraheavy	Acetate
